Tipo, Título, Data, Relator, Sumário, Processo, Tipo de Processo, Interessado / Responsável / Recorrente, Entidade, Representante do Ministério Público, Unidade Técnica, Representante Legal, Assunto, Endereço do Arquivo
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 874/2025 ATA 2/2025 - PRIMEIRA CÂMARA", "04/02/2025", "JHONATAN DE JESUS", "", "026.549/2024-7", "REPRESENTAÇÃO (REPR)", "", " Coordenacao Geral de Material e Patrimonio - Ministério da Saúde.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Henrique Smidt Simon (18671/OAB-DF), representando Vippim Seguranca e Vigilancia Ltda. ", "REPRESENTAÇÃO. Representação referente à licitação com número 122024, modalidade Pregão e Uasg 250110 (Objeto: contratação de prestação do serviço de secretariado e vigilância conforme condições, quantidades e exigências estabelecidas, a serem executados com regime de dedicação exclusiva de mão de obra na sede do Ministério da Saúde.)", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=30713005"
"ACÓRDÃO", "ACÓRDÃO 80/2025 ATA 1/2025 - PLENÁRIO", "22/01/2025", "WEDER DE OLIVEIRA", "REPRESENTAÇÃO. MEDIDA CAUTELAR. REFERENDO.", "024.781/2024-0", "REPRESENTAÇÃO (REPR)", "3. Interessados/Responsáveis: Não há.", " Universidade Federal de Santa Maria.", " Não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Carlos Alberto Day Stoever (OAB/RS 69.130), representando Sulclean Serviços Ltda.", "Referendo de medida cautelar em representação a respeito de possíveis irregularidades em pregão para contratação de serviços de jardinagem e paisagismo.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=877517"
"ACÓRDÃO", "ACÓRDÃO 2626/2024 ATA 48/2024 - PLENÁRIO", "04/12/2024", "AUGUSTO SHERMAN", "REPRESENTAÇÃO. PREGÃO ELETRÔNICO. INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS. CONTRATAÇÃO DE SERVIÇOS DE LIMPEZA, CONSERVAÇÃO, JARDINAGEM, RECEPÇÃO, COPEIRAGEM, CARREGAMENTO, OPERADOR DE REPROGRAFIA, AUXILIAR DE MANUTENÇÃO PREDIAL E OPERADOR DE ÁUDIO E VÍDEO, A SEREM EXECUTADOS EM REGIME DE DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA. DESCLASSIFICAÇÃO DE PROPOSTA EM DESACORDO COM A JURISPRUDÊNCIA DO TCU. REJEIÇÃO SUMÁRIA E SEM FUNDAMENTAÇÃO DE RECURSO NA LICITAÇÃO. PLAUSIBILIDADE DOS ARGUMENTOS DA REPRESENTANTE. RISCO DE DANO AO ERÁRIO. OITIVA PRÉVIA. AUSÊNCIA DE MANIFESTAÇÃO DO IFGO. ADOÇÃO DE MEDIDA CAUTELAR. COMUNICAÇÕES.", "022.278/2024-9", "REPRESENTAÇÃO (REPR)", "3. Interessados/Responsáveis: não há.", " Instituto Federal de Educação, Ciência e Tecnologia de Goiás.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Cesario de Aguiar Silva Oliveira (OAB/GO 55.178), representando Gelu Servicos de Divulgacao de Marcas e Imagens Ltda.", "Referendo de medida cautelar em representação sobre possíveis irregularidades ocorridas em pregão eletrônico para contratação de serviços de limpeza, conservação, jardinagem, recepção, copeiragem, carregamento, operador de reprografia, auxiliar de manutenção predial e operador de áudio e vídeo.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=878431"
"ACÓRDÃO", "ACÓRDÃO 2585/2024 ATA 48/2024 - PLENÁRIO", "04/12/2024", "AUGUSTO NARDES", "DENÚNCIA. PREGÃO. DESCLASSIFICAÇÃO ARBITRÁRIA DA QUASE TOTALIDADE DOS LICITANTES, ANTES DA FASE DE LANCES, EM RAZÃO DE FALHAS SANÁVEIS. HABILITAÇÃO TÉCNICA INDEVIDA DA EMPRESA VENCEDORA DO CERTAME. RESTRIÇÃO À COMPETITIVIDADE DO CERTAME. INDÍCIOS DE FRAUDE À LICITAÇÃO, COM POTENCIAL DANO AO ERÁRIO. CONCESSÃO DE MEDIDA CAUTELAR REFERENDADA NO ACÓRDÃO 507/2024-TCU-PLENÁRIO. APRESENTAÇÃO DE ESCLARECIMENTOS, COM INFORMAÇÃO ACERCA DA ANULAÇÃO ADMINISTRATIVA DO CERTAME E DA RESCISÃO DO CONTRATO DELE DECORRENTE. NÃO DESCARACTERIZAÇÃO DAS IRREGULARIDAES. PROCEDÊNCIA. REVOGAÇÃO DA CAUTELAR. CIÊNCIA.", "040.302/2023-7", "DENÚNCIA (DEN)", "3. Denunciante: identidade preservada (art. 55, caput, da Lei 8.443/1992).", " Distrito Sanitário Especial Indígena Amapá/Norte do Pará - DSEI/APM.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " não há.", "Denúncia sobre possíveis irregularidades em pregão eletrônico realizado a contratação de serviços continuados de natureza comum de apoio administrativo, com dedicação exclusiva de mão de obra.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=878112"
"ACÓRDÃO", "ACÓRDÃO 10394/2024 ATA 45/2024 - PRIMEIRA CÂMARA", "03/12/2024", "AUGUSTO SHERMAN", "REPRESENTAÇÃO. POSSÍVEIS IRREGULARIDADES RELACIONADAS À ADITIVAÇÃO DE CONTRATO PARA EXECUÇÃO DE OBRA EM PERCENTUAL SUPERIOR AO PERMITIDO PELO REGULAMENTO DE LICITAÇÕES E CONTRATOS DO SESCOOP. PEDIDO DE ADOÇÃO DE MEDIDA CAUTELAR. CONHECIMENTO. OITIVA PRÉVIA. IMPROCEDÊNCIA.", "028.907/2022-1", "REPRESENTAÇÃO (REPR)", "3. Interessada: Cittá - Construtora e Urbanizadora Eireli - Epp (CNPJ 02.016.258/0001-01).", " Município de Varzedo/BA.", " não atuou.", " AudContratações.", " não há.", "Representação formulada pela AudAgroAmbiental a partir de denúncia anônima dando conta de possíveis irregularidades ocorridas no Serviço Nacional de Aprendizagem do Cooperativismo no Estado de São Paulo (Sescoop/SP) e na Organização das Cooperativas do Estado de São Paulo (Ocesp), relacionadas à área de pessoal, à alteração fraudulenta de estatuto, a aumento expressivo do valor de obra e a favorecimento indevido aos seus dirigentes e familiares.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=877842"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 2528/2024 ATA 47/2024 - PLENÁRIO", "27/11/2024", "BENJAMIN ZYMLER", "", "018.477/2024-0", "REPRESENTAÇÃO (REPR)", "", " Instituto Brasileiro de Museus.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " não há.", "REPRESENTAÇÃO. Representação referente ao contrato com número 42024 e códigoUasg 423002 (Objeto: CONTRATAÇÃO DE SERVIÇO ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS CONTINUADOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA SEM DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA E SEM FORNECIMENTO DE PEÇAS, DO SISTEMA DE CLIMATIZAÇÃO COMO UM TODO, A SEREM EXECUTADOS NO MUSEU DA ABOLIÇÃO EM RECIFE/PE)", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=30581742"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 10327/2024 ATA 44/2024 - PRIMEIRA CÂMARA", "26/11/2024", "JHONATAN DE JESUS", "", "024.921/2024-6", "REPRESENTAÇÃO (REPR)", "", " Conselho Regional de Medicina do Estado de São Paulo.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Gabriela Rosa Pereira da Silva Alves de Moraes (452693/OAB-SP), representando Eclipse Servicos Administrativos Ltda. ", "REPRESENTAÇÃO. Representação referente à licitação com número 900362024, modalidade Pregão e Uasg 926310 (Objeto: contratação de empresa especializada na prestação de serviços terceirizados, com dedicação exclusiva de mão de obra (DEMO), visando o fornecimento de 03 (três) postos de controlador de acesso, sendo: 02 (dois) postos 12 horas diurnas de segunda a sábado e 01 (um) posto 24 horas, de segunda a domingo, a serem disponibilizados nas dependências da sede do Conselho Regional de Medicina do Estado de São Paulo - Cremesp (Rua Frei Caneca, nº 1282, Consolação - São Paulo/SP), pelo período inicial de 12 (doze) meses.)", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=30601988"
"ACÓRDÃO", "ACÓRDÃO 2433/2024 ATA 46/2024 - PLENÁRIO", "13/11/2024", "BENJAMIN ZYMLER", "AGRAVO. REPRESENTAÇÃO. HOSPITAL FEDERAL CARDOSO FONTES (HFCF). CONTRATAÇÃO DE SERVIÇOS DE APOIO ADMINISTRATIVO E OUTROS DE NATUREZA OPERACIONAL, A SEREM EXECUTADOS COM REGIME DE DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA. ALEGAÇÃO DE QUE A EMPRESA VENCEDORA DA LICITAÇÃO NÃO PODERIA TER SE UTILIZADO, PARA FORMAÇÃO DE PREÇOS, DO ACORDO COLETIVO FIRMADO COM O SINDICATO DOS TRABALHADORES DE RH, TERCEIRIZADOS E TEMPORÁRIOS NO RIO DE JANEIRO (SINDEERH-RJ) - COM PISO SALARIAL MAIS BAIXO -, UMA VEZ QUE SUA ATIVIDADE PREPONDERANTE É DE LIMPEZA E CONSERVAÇÃO, HAVENDO OFENSA À ORDEM TRABALHISTA E CONSTITUCIONAL, EM POSSIBILIDADE ANTI-ISONÔMICA EM RELAÇÃO AOS DEMAIS PARTICIPANTES. JURISPRUDÊNCIA DO TCU FIRMADA NO SENTIDO DE QUE NÃO SE FAZ PERMISSIVO DETERMINAR A CONVENÇÃO OU ACORDO COLETIVO DE TRABALHO A SER UTILIZADO, MAS QUE SE FAZ LÍCITO PREVER QUE SOMENTE SERÃO ACEITAS PROPOSTAS QUE ADOTAREM NA PLANILHA DE CUSTOS E FORMAÇÃO DE PREÇOS DE VALOR IGUAL OU SUPERIOR AO ORÇADO PELA ADMINISTRAÇÃO. MANIFESTAÇÃO DO MINISTÉRIO PÚBLICO DO TRABALHO DIRECIONADA À LICITANTE VENCEDORA E AO ÓRGÃO LICITANTE. FUMAÇA DO BOM DIREITO. OITIVA PRÉVIA À CAUTELAR. SOLICITAÇÃO DE PRORROGAÇÃO DE PRAZO. CARACTERIZAÇÃO DO PERIGO DA DEMORA. ADOÇÃO DE MEDIDA ACAUTELATÓRIA. OITIVA DE QUINZE DIAS. REFERENDO DO PLENÁRIO. AGRAVO. CONHECIMENTO. NÃO PROVIMENTO. COMUNICAÇÕES.", "021.815/2024-0", "REPRESENTAÇÃO (REPR)", "3. Interessados/Responsáveis/Recorrentes:<br>3.1. Responsável: Cns Nacional de Servicos Limitada (33.285.255/0001-05).<br>3.2. Recorrente: Cns Nacional de Servicos Limitada (33.285.255/0001-05).", " Hospital Federal Cardoso Fontes.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Thayana Loureiro Chehuan de Barros (201851/OAB-RJ), Gustavo Franklin Figueredo Tenorio (171405/OAB-RJ) e outros, representando Cns Nacional de Servicos Limitada; Sabrina Faraco Batista (27739/OAB-SC), representando Lideranca Limpeza e Conservacao Ltda.", "Agravo contra despacho já referendado mediante o qual foi concedida medida cautelar em representação a respeito de possíveis irregularidades ocorridas em pregão eletrônico que teve por objeto objeto a contratação de serviços de apoio administrativo e outros de natureza operacional, a serem executados com regime de dedicação exclusiva de mão de obra.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=876602"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 9755/2024 ATA 41/2024 - PRIMEIRA CÂMARA", "05/11/2024", "WALTON ALENCAR RODRIGUES", "", "018.907/2024-5", "REPRESENTAÇÃO (REPR)", "", " Fundação Nacional de Artes.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Leonardo Thiago Schelhan Campos Siqueira, representando Siqueiras Editora e Comercio de Som Ltda - Me. ", "REPRESENTAÇÃO. Representação referente à licitação com número 42024, modalidade Pregão e Uasg 403201 (Objeto: Contratação de empresa especializada na prestação de serviços continuados para a execução de atividadesligadas à produção de espetáculos e demais ações de teatro, de dança, de música, de artes visuais e de circo,com fornecimento de uniformes, materiais e equipamentos de EPIs, visando atender às necessidades daFundação Nacional de Artes -¬ Funarte, em seus espaços culturais, localizados nas cidades do Rio deJaneiro/RJ, São Paulo/SP e Belo Horizonte/MG ou em outros locais que venham a ser ocupados pela Funarte,a serem executados com regime de dedicação exclusiva de mão de obra)", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=30480480"
"ACÓRDÃO", "ACÓRDÃO 2122/2024 ATA 41/2024 - PLENÁRIO", "09/10/2024", "BENJAMIN ZYMLER", "REPRESENTAÇÃO. HOSPITAL FEDERAL CARDOSO FONTES (HFCF). CONTRATAÇÃO DE SERVIÇOS DE APOIO ADMINISTRATIVO E OUTROS DE NATUREZA OPERACIONAL, A SEREM EXECUTADOS COM REGIME DE DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA. ALEGAÇÃO DE QUE A EMPRESA VENCEDORA DA LICITAÇÃO NÃO PODERIA TER SE UTILIZADO, PARA FORMAÇÃO DE PREÇOS, DO ACORDO COLETIVO FIRMADO COM O SINDICATO DOS TRABALHADORES DE RH, TERCEIRIZADOS E TEMPORÁRIOS NO RIO DE JANEIRO (SINDEERH-RJ) - COM PISO SALARIAL MAIS BAIXO -, UMA VEZ QUE SUA ATIVIDADE PREPONDERANTE É DE LIMPEZA E CONSERVAÇÃO, HAVENDO OFENSA À ORDEM TRABALHISTA E CONSTITUCIONAL, EM POSSIBILIDADE ANTI-ISONÔMICA EM RELAÇÃO AOS DEMAIS PARTICIPANTES. JURISPRUDÊNCIA DO TCU FIRMADA NO SENTIDO DE QUE NÃO SE FAZ PERMISSIVO DETERMINAR A CONVENÇÃO OU ACORDO COLETIVO DE TRABALHO A SER UTILIZADO, MAS QUE SE FAZ LÍCITO PREVER QUE SOMENTE SERÃO ACEITAS PROPOSTAS QUE ADOTAREM NA PLANILHA DE CUSTOS E FORMAÇÃO DE PREÇOS DE VALOR IGUAL OU SUPERIOR AO ORÇADO PELA ADMINISTRAÇÃO. MANIFESTAÇÃO DO MINISTÉRIO PÚBLICO DO TRABALHO DIRECIONADA À LICITANTE VENCEDORA E AO ÓRGÃO LICITANTE. FUMAÇA DO BOM DIREITO. OITIVA PRÉVIA À CAUTELAR. SOLICITAÇÃO DE PRORROGAÇÃO DE PRAZO. CARACTERIZAÇÃO DO PERIGO DA DEMORA. ADOÇÃO DE MEDIDA ACAUTELATÓRIA. OITIVA DE QUINZE DIAS. REFERENDO DO PLENÁRIO. COMUNICAÇÕES.", "021.815/2024-0", "REPRESENTAÇÃO (REPR)", "3. Interessados/Responsáveis:<br>3.1. Interessado: Cns Nacional de Servicos Limitada (33.285.255/0001-05).", " Hospital Federal Cardoso Fontes.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Sabrina Faraco Batista (27739/OAB-SC), representando Lideranca Limpeza e Conservacao Ltda. ", "Referendo de medida cautelar em representação a respeito de possíveis irregularidades ocorridas em pregão eletrônico cujo objeto é a contratação de serviços de apoio administrativo e outros de natureza operacional, a serem executados com regime de dedicação exclusiva de mão de obra.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=874614"
"ACÓRDÃO", "ACÓRDÃO 1784/2024 ATA 35/2024 - PLENÁRIO", "28/08/2024", "AROLDO CEDRAZ", "REPRESENTAÇÃO. INDÍCIOS DE IRREGULARIDADES OCORRIDAS NO PREGÃO ELETRÔNICO 100/2023, PROMOVIDO PELO HOSPITAL DAS FORÇAS ARMADAS. INDEFERIMENTO DE MEDIDA CAUTELAR. PROCEDÊNCIA. DETERMINAÇÕES. CIÊNCIA. ARQUIVAMENTO.", "001.928/2024-4", "REPRESENTAÇÃO (REPR)", "3. Interessados/Responsáveis: não há.", " Hospital das Forças Armadas.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Ubiratan Menezes da Silveira (26.442/OAB-DF), representando GSI - Serviços Especializados Eireli. ", "Representação a respeito de possíveis irregularidades em pregão para contratação de serviços contínuos de apoio administrativo e gestão dos processos de contas hospitalares internas, com regime de dedicação exclusiva de mão de obra, e de contas hospitalares externas sob demanda.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=870584"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 7493/2024 ATA 31/2024 - PRIMEIRA CÂMARA", "27/08/2024", "JORGE OLIVEIRA", "", "018.254/2024-1", "REPRESENTAÇÃO (REPR)", " MSKT Tecnologia e Serviços Especiais Ltda. (CNPJ: 43.929.307/0001-84).", " Superintendência Regional do Incra no Estado do Espírito Santo.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Jessyca de Sousa Oliveira Ribeiro (73164/OAB-DF), representando MSKT Tecnologia e Serviços Especiais Ltda. ", "REPRESENTAÇÃO. Representação referente à licitação com número 2024, modalidade Pregão e Uasg 373057 (Objeto: 1-Contratação de empresa de apoio administrativo para a Superintendência Regional do Espírito Santo, a serem executados com regime de dedicação exclusiva de mão de obra, por um período de 12 (doze) meses - 40 horas semanais - 07 postos. CBO 4110-102-Contratação de empresa de apoio administrativo para o Escritório do MDA localizado na Superintendência Regional do INCRA/ES, a serem executados com regime de dedicação exclusiva de mão de obra, por um período de 12 (doze) meses - 40 horas semanais - 02 postos. CBO 4110-10)", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=30146945"
"ACÓRDÃO", "ACÓRDÃO 1589/2024 ATA 32/2024 - PLENÁRIO", "07/08/2024", "AUGUSTO NARDES", "REPRESENTAÇÃO ACERCA DE SUPOSTAS IRREGULARIDADES NA CONDUÇÃO DE PREGÃO ELETRÔNICO PARA CONTRATAÇÃO DE SERVIÇOS DE APOIO ADMINISTRATIVO E TÉCNICO, ACESSÓRIOS E INSTRUMENTAIS AOS PROCESSOS DE PRODUÇÃO, QUALIDADE, DESENVOLVIMENTO TECNOLÓGICO E GESTÃO NO RAMO DE IMUNOBIOLÓGICOS. NÃO PARCELAMENTO DO OBJETO LICITADO, PREVISÃO DE EXIGÊNCIAS RESTRITIVAS DE QUALIFICAÇÃO TÉCNICA E ECONÔMICO-FINANCEIRA E FIXAÇÃO DE PISO SALARIAL MÍNIMO ACIMA DA MÉDIA DE MERCADO. DILIGÊNCIA. OITIVA PRÉVIA. DEFERIMENTO DO PEDIDO DE MEDIDA CAUTELAR PARA SUSPENSÃO DO CERTAME. NOVAS MEDIDAS SANEADORAS. INSUBSISTÊNCIA DOS INDÍCIOS APONTADOS, À EXCEÇÃO DA PREVISÃO DE CLÁUSULA RESTRITIVA DE QUALIFICAÇÃO TÉCNICA. PROCEDÊNCIA PARCIAL. REVOGAÇÃO DA CAUTELAR. AUTORIZAÇÃO, EXCEPCIONALMENTE, PARA PROSSEGUIMENTO DO CERTAME, CONDICIONADO À CORREÇÃO DA IRREGULARIDADE. CIÊNCIA À ENTIDADE.", "040.253/2023-6", "REPRESENTAÇÃO (REPR)", "3. Representante: BK Consultoria e Serviços Ltda. (03.022.122/0001-77).", " Instituto de Tecnologia em Imunobiológicos - BioManguinhos da Fundação Oswaldo Cruz - Fiocruz.", " não atuou.", " Unidade de Auditoria Especializada em Contratações - AudContratações.", " Daniel Gustavo Santos Roque (OAB-SP 311.195), entre outros, representando o Instituto de Tecnologia em Imunobiológicos; Priscilla Paiva Takieddine (OAB-SP 325.728), representando s BK Consultoria e Serviços Ltda.", "Representação sobre supostas irregularidades em pregão eletrônico que teve por objeto a prestação de serviços de apoio administrativo e técnico, acessórios e instrumentais aos processos de produção, qualidade, desenvolvimento tecnológico e gestão no ramo de imunobiológicos.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=862202"
"ACÓRDÃO", "ACÓRDÃO 1588/2024 ATA 32/2024 - PLENÁRIO", "07/08/2024", "AUGUSTO NARDES", "REPRESENTAÇÃO. PREGÃO ELETRÔNICO 42/2024-TCU. CONTRATAÇÃO DE SERVIÇOS CONTÍNUOS DE SEGURANÇA PRIVADA. SUPOSTAS FALHAS NA ESTIMATIVA DE PREÇOS E EM CLÁUSULAS EDITALÍCIAS. INDEFERIMENTO DO PEDIDO DE CAUTELAR. IMPROCEDÊNCIA. ARQUIVAMENTO.", "018.036/2024-4", "REPRESENTAÇÃO (REPR)", "3. Interessados/Responsáveis: não há.", " Tribunal de Contas da União.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Nara Regina da Matta Machado (65666/OAB-DF), Guilherme Guedes de Medeiros (36924/OAB-DF) e Eduardo Han (11714/OAB-DF), representando Sindicato de Empresas de Segurança Privada, Sistemas de Segurança Eletrônica, Cursos de Formação e Transporte de Valores no Distrito Federal; e Bruno Ladeira Junqueira (OAB: 40301-DF), representando City Service Segurança Ltda. em Recuperação Judicial.", " Representação referente à licitação cujo objeto é a contratação, em regime de empreitada por preço unitário, de serviços contínuos de segurança privada, mediante vigilância patrimonial e segurança pessoal privada e serviços sob demanda de segurança de eventos e diárias, para atendimento das necessidades do Tribunal de Contas da União - TCU.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=868992"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 1570/2024 ATA 32/2024 - PLENÁRIO", "07/08/2024", "VITAL DO RÊGO", "", "008.672/2024-5", "DENÚNCIA (DEN)", " Identidade preservada (art. 55, caput, da Lei 8.443/1992).", " Subsecretaria de Assuntos Administrativos do MEC.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " não há. ", "DENÚNCIA. Denúncia referente ao contrato com número 102020 e códigoUasg 150002 (Objeto: contratação de empresa especializada para prestação dos serviços continuados de vigilância patrimonial, armada e desarmada, monitoramento em CFTV, com dedicação exclusiva de mão de obra e fornecimento de todos os insumos, materiais e equipamentos necessários à execução dos serviços, para atender às necessidades do Ministério da Educação.)", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=30031451"
"ACÓRDÃO", "ACÓRDÃO 5167/2024 ATA 28/2024 - SEGUNDA CÂMARA", "06/08/2024", "ANTONIO ANASTASIA", "REPRESENTAÇÃO. TRIBUNAL DE CONTAS DO ESTADO DA PARAÍBA. AQUISIÇÃO DE MEDICAMENTOS DE ATENÇÃO BÁSICA, PARA ATENDER AS DEMANDAS DAS UNIDADES DE SAÚDE DURANTE DOZE MESES. ADITIVOS A CONTRATOS DECORRENTES DE UMA MESMA ATA DE REGISTRO DE PREÇOS, PP-SRP 16.621/2018, EM QUE FORAM PROMOVIDOS REALINHAMENTOS INOPORTUNOS E INJUSTIFICADOS DE PREÇOS, SUPOSTAMENTE COM BASE NO ENTÃO VIGENTE ART. 65, II, "D", DA LEI 8.666/1993. SUPERFATURAMENTO ABAIXO DO VALOR DE REFERÊNCIA DO ART. 6º DA INSTRUÇÃO NORMATIVA TCU 71/2012. AUDIÊNCIA. ACOLHIMENTO DAS RAZÕES DE JUSTIFICATIVA DE UM DOS RESPONSÁVEIS. REJEIÇÃO DAS DEMAIS. MULTAS. COMUNICAÇÕES.", "044.502/2021-4", "REPRESENTAÇÃO (REPR)", "3. Representante: Tribunal de Contas do Estado da Paraíba (TCE/PB)<br>3.1. Responsáveis: Luzia Maria Marinho Leite Pinto (Secretária de Saúde, CPF 436.777.114-87), Riccelly Naro Guimarães (Coordenador Farmacêutico, CPF 037.362.804-83), Luís Villander Rodrigues de Farias (Consultor Jurídico, CPF 063.252.554-10) e Filipe Araújo Reul (Consultor Jurídico, CPF 051.405.774-29) ", " Município de Campina Grande/PB", " não atuou", " AudContratações", " Itamara Monteiro Leitão (17238/OAB-PB), representando Filipe Araújo Reul; Johnson Gonçalves de Abrantes (1663/OAB-PB), Rebeka Manoella Lins Nunes (22082/OAB-PB) e outros, representando Secretaria Municipal de Saúde de Campina Grande; Angelica da Costa Ferreira (17233/OAB-PB), representando Luzia Maria Marinho Leite Pinto. ", "Representação do Tribunal de Contas do Estado da Paraíba.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=862160"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 1556/2024 ATA 31/2024 - PLENÁRIO", "31/07/2024", "JHONATAN DE JESUS", "", "012.326/2024-0", "REPRESENTAÇÃO (REPR)", "", " Fundação Universidade de Brasília.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " não há.", "REPRESENTAÇÃO. Representação referente à licitação com número 900062024, modalidade Pregão e Uasg 154040 (Objeto: O objeto da presente licitação é a contratação de empresa especializada na prestação de serviços continuados, semdedicação exclusiva de mão de obra, em modernização tecnológica de instalações de transporte vertical (elevadores) dosimóveis gerenciados pela Secretaria de Patrimônio Imobiliário da Universidade de Brasília - SPI conforme condições,quantidades e exigências estabelecidas neste Edital e seus anexos.)", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=30030104"
